id,eigencentrality
0,0.0
1,1.5308685496671518E-5
2,1.5308685496671518E-5
4,1.5308685496671518E-5
8,1.5308685496671518E-5
16,1.5308685496671518E-5
32,1.5308685496671518E-5
64,1.5308685496671518E-5
128,1.5308685496671518E-5
256,1.5308685496671518E-5
512,1.5308685496671518E-5
1024,1.5308685496671518E-5
2048,1.5308685496671518E-5
4096,1.5308685496671518E-5
8192,1.5308685496671518E-5
3,6.27239640495458E-5
5,6.27239640495458E-5
9,6.27239640495458E-5
17,6.27239640495458E-5
33,6.27239640495458E-5
65,6.27239640495458E-5
129,6.27239640495458E-5
257,6.27239640495458E-5
513,6.27239640495458E-5
1025,6.27239640495458E-5
2049,6.27239640495458E-5
4097,6.27239640495458E-5
8193,6.27239640495458E-5
6,6.27239640495458E-5
10,6.27239640495458E-5
18,6.27239640495458E-5
34,6.27239640495458E-5
66,6.27239640495458E-5
130,6.27239640495458E-5
258,6.27239640495458E-5
514,6.27239640495458E-5
1026,6.27239640495458E-5
2050,6.27239640495458E-5
4098,6.27239640495458E-5
8194,6.27239640495458E-5
7,1.9230588530931483E-4
11,1.9230588530931483E-4
19,1.9230588530931483E-4
35,1.9230588530931483E-4
67,1.9230588530931483E-4
131,1.9230588530931483E-4
259,1.9230588530931483E-4
515,1.9230588530931483E-4
1027,1.9230588530931483E-4
2051,1.9230588530931483E-4
4099,1.9230588530931483E-4
8195,1.9230588530931483E-4
12,6.27239640495458E-5
20,6.27239640495458E-5
36,6.27239640495458E-5
68,6.27239640495458E-5
132,6.27239640495458E-5
260,6.27239640495458E-5
516,6.27239640495458E-5
1028,6.27239640495458E-5
2052,6.27239640495458E-5
4100,6.27239640495458E-5
8196,6.27239640495458E-5
13,1.9230588530931483E-4
21,1.9230588530931483E-4
37,1.9230588530931483E-4
69,1.9230588530931483E-4
133,1.9230588530931483E-4
261,1.9230588530931483E-4
517,1.9230588530931483E-4
1029,1.9230588530931483E-4
2053,1.9230588530931483E-4
4101,1.9230588530931483E-4
8197,1.9230588530931483E-4
14,1.9230588530931483E-4
22,1.9230588530931483E-4
38,1.9230588530931483E-4
70,1.9230588530931483E-4
134,1.9230588530931483E-4
262,1.9230588530931483E-4
518,1.9230588530931483E-4
1030,1.9230588530931483E-4
2054,1.9230588530931483E-4
4102,1.9230588530931483E-4
8198,1.9230588530931483E-4
15,5.229281569507984E-4
23,5.229281569507984E-4
39,5.229281569507984E-4
71,5.229281569507984E-4
135,5.229281569507984E-4
263,5.229281569507984E-4
519,5.229281569507984E-4
1031,5.229281569507984E-4
2055,5.229281569507984E-4
4103,5.229281569507984E-4
8199,5.229281569507984E-4
24,6.27239640495458E-5
40,6.27239640495458E-5
72,6.27239640495458E-5
136,6.27239640495458E-5
264,6.27239640495458E-5
520,6.27239640495458E-5
1032,6.27239640495458E-5
2056,6.27239640495458E-5
4104,6.27239640495458E-5
8200,6.27239640495458E-5
25,1.9230588530931483E-4
41,1.9230588530931483E-4
73,1.9230588530931483E-4
137,1.9230588530931483E-4
265,1.9230588530931483E-4
521,1.9230588530931483E-4
1033,1.9230588530931483E-4
2057,1.9230588530931483E-4
4105,1.9230588530931483E-4
8201,1.9230588530931483E-4
26,1.9230588530931483E-4
42,1.9230588530931483E-4
74,1.9230588530931483E-4
138,1.9230588530931483E-4
266,1.9230588530931483E-4
522,1.9230588530931483E-4
